"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-180 50 2045 10 2015-10-15 736252 0
-180 50 2045 11 2015-11-15 736283 0
-180 50 2045 12 2015-12-15 736313 0
-180 55 2118 1 2015-01-15 735979 0
-180 55 2118 2 2015-02-15 736010 0
-180 55 2118 3 2015-03-15 736038 0
-180 55 2118 4 2015-04-15 736069 0
-180 55 2118 5 2015-05-15 736099 0
-180 55 2118 6 2015-06-15 736130 0
-180 55 2118 7 2015-07-15 736160 0
-180 55 2118 8 2015-08-15 736191 0
-180 55 2118 9 2015-09-15 736222 0
-180 55 2118 10 2015-10-15 736252 0
-180 55 2118 11 2015-11-15 736283 0
-180 55 2118 12 2015-12-15 736313 0
-180 60 2191 1 2015-01-15 735979 0
-180 60 2191 2 2015-02-15 736010 0
-180 60 2191 3 2015-03-15 736038 0
-180 60 2191 4 2015-04-15 736069 0
-180 60 2191 5 2015-05-15 736099 0
-180 60 2191 6 2015-06-15 736130 0
-180 60 2191 7 2015-07-15 736160 0
-180 60 2191 8 2015-08-15 736191 0
-180 60 2191 9 2015-09-15 736222 0
-180 60 2191 10 2015-10-15 736252 0
-180 60 2191 11 2015-11-15 736283 0
-180 60 2191 12 2015-12-15 736313 0
-180 65 2264 1 2015-01-15 735979 0
-180 65 2264 2 2015-02-15 736010 0
-180 65 2264 3 2015-03-15 736038 0
-180 65 2264 4 2015-04-15 736069 0
-180 65 2264 5 2015-05-15 736099 0
-180 65 2264 6 2015-06-15 736130 0
-180 65 2264 7 2015-07-15 736160 0
-180 65 2264 8 2015-08-15 736191 0
-180 65 2264 9 2015-09-15 736222 0
-180 65 2264 10 2015-10-15 736252 0
-180 65 2264 11 2015-11-15 736283 0
-180 65 2264 12 2015-12-15 736313 0
-180 70 2337 1 2015-01-15 735979 0
-180 70 2337 2 2015-02-15 736010 0
-180 70 2337 3 2015-03-15 736038 0
-180 70 2337 4 2015-04-15 736069 0
-180 70 2337 5 2015-05-15 736099 0
-180 70 2337 6 2015-06-15 736130 0
-180 70 2337 7 2015-07-15 736160 0
-180 70 2337 8 2015-08-15 736191 0
-180 70 2337 9 2015-09-15 736222 0
-180 70 2337 10 2015-10-15 736252 0
-180 70 2337 11 2015-11-15 736283 0
-180 70 2337 12 2015-12-15 736313 0
-180 75 2410 1 2015-01-15 735979 0
-180 75 2410 2 2015-02-15 736010 0
-180 75 2410 3 2015-03-15 736038 0
-180 75 2410 4 2015-04-15 736069 0
-180 75 2410 5 2015-05-15 736099 0
-180 75 2410 6 2015-06-15 736130 0
-180 75 2410 7 2015-07-15 736160 0
-180 75 2410 8 2015-08-15 736191 0
-180 75 2410 9 2015-09-15 736222 0
-180 75 2410 10 2015-10-15 736252 0
-180 75 2410 11 2015-11-15 736283 0
-180 75 2410 12 2015-12-15 736313 0
-180 80 2483 1 2015-01-15 735979 0
-180 80 2483 2 2015-02-15 736010 0
-180 80 2483 3 2015-03-15 736038 0
-180 80 2483 4 2015-04-15 736069 0
-180 80 2483 5 2015-05-15 736099 0
-180 80 2483 6 2015-06-15 736130 0
-180 80 2483 7 2015-07-15 736160 0
-180 80 2483 8 2015-08-15 736191 0
-180 80 2483 9 2015-09-15 736222 0
-180 80 2483 10 2015-10-15 736252 0
-180 80 2483 11 2015-11-15 736283 0
-180 80 2483 12 2015-12-15 736313 0
-180 85 2556 1 2015-01-15 735979 0
-180 85 2556 2 2015-02-15 736010 0
-180 85 2556 3 2015-03-15 736038 0
-180 85 2556 4 2015-04-15 736069 0
-180 85 2556 5 2015-05-15 736099 0
-180 85 2556 6 2015-06-15 736130 0
-180 85 2556 7 2015-07-15 736160 0
-180 85 2556 8 2015-08-15 736191 0
-180 85 2556 9 2015-09-15 736222 0
-180 85 2556 10 2015-10-15 736252 0
-180 85 2556 11 2015-11-15 736283 0
-180 85 2556 12 2015-12-15 736313 0
-180 90 2629 1 2015-01-15 735979 0
-180 90 2629 2 2015-02-15 736010 0
-180 90 2629 3 2015-03-15 736038 0
-180 90 2629 4 2015-04-15 736069 0
-180 90 2629 5 2015-05-15 736099 0
-180 90 2629 6 2015-06-15 736130 0
-180 90 2629 7 2015-07-15 736160 0
-180 90 2629 8 2015-08-15 736191 0
-180 90 2629 9 2015-09-15 736222 0
-180 90 2629 10 2015-10-15 736252 0
-180 90 2629 11 2015-11-15 736283 0
-180 90 2629 12 2015-12-15 736313 0
-175 -75 1348 1 2015-01-15 735979 0
-175 -75 1348 2 2015-02-15 736010 0
-175 -75 1348 3 2015-03-15 736038 0
-175 -75 1348 4 2015-04-15 736069 0
-175 -75 1348 5 2015-05-15 736099 0
-175 -75 1348 6 2015-06-15 736130 0
-175 -75 1348 7 2015-07-15 736160 0
-175 -75 1348 8 2015-08-15 736191 0
-175 -75 1348 9 2015-09-15 736222 0
-175 -75 1348 10 2015-10-15 736252 0
-175 -75 1348 11 2015-11-15 736283 0
-175 -75 1348 12 2015-12-15 736313 0
-175 -70 4099 1 2015-01-15 735979 0
-175 -70 4099 2 2015-02-15 736010 0
-175 -70 4099 3 2015-03-15 736038 0
-175 -70 4099 4 2015-04-15 736069 0
-175 -70 4099 5 2015-05-15 736099 0
-175 -70 4099 6 2015-06-15 736130 0
-175 -70 4099 7 2015-07-15 736160 0
-175 -70 4099 8 2015-08-15 736191 0
-175 -70 4099 9 2015-09-15 736222 0
-175 -70 4099 10 2015-10-15 736252 0
-175 -70 4099 11 2015-11-15 736283 0
-175 -70 4099 12 2015-12-15 736313 0
-175 -65 2842 1 2015-01-15 735979 -0.346780665636344
-175 -65 2842 2 2015-02-15 736010 0.769853383765966
-175 -65 2842 3 2015-03-15 736038 0.940376423223136
-175 -65 2842 4 2015-04-15 736069 0.244561504524648
-175 -65 2842 5 2015-05-15 736099 0
-175 -65 2842 6 2015-06-15 736130 0
-175 -65 2842 7 2015-07-15 736160 0
-175 -65 2842 8 2015-08-15 736191 0
-175 -65 2842 9 2015-09-15 736222 0
-175 -65 2842 10 2015-10-15 736252 0
-175 -65 2842 11 2015-11-15 736283 0
-175 -65 2842 12 2015-12-15 736313 0
-175 -60 4508 1 2015-01-15 735979 -0.552014251000231
-175 -60 4508 2 2015-02-15 736010 -0.595737161876936
-175 -60 4508 3 2015-03-15 736038 -0.588322874920889
-175 -60 4508 4 2015-04-15 736069 -0.0234775740413969
-175 -60 4508 5 2015-05-15 736099 0.853414127442661
-175 -60 4508 6 2015-06-15 736130 1.03247433483884
-175 -60 4508 7 2015-07-15 736160 -0.199485675193431
-175 -60 4508 8 2015-08-15 736191 0.711285326954332
-175 -60 4508 9 2015-09-15 736222 -0.105673690410671
-175 -60 4508 10 2015-10-15 736252 0.517327216616379
-175 -60 4508 11 2015-11-15 736283 0.0989929639077187
-175 -60 4508 12 2015-12-15 736313 0.231306541101942
-175 -55 5211 1 2015-01-15 735979 -0.11045260665259
-175 -55 5211 2 2015-02-15 736010 -0.98120599649722
-175 -55 5211 3 2015-03-15 736038 -0.0657312998741709
