"date" "xco2_air" "lat"
736817 410.767333333333 36.869897645844
736817 411.209 40.5416018735045
736817 411.667333333333 44.4270040008057
736817 412.060666666667 48.5903778907291
736817 408.447 5.73917047726679
736817 412.357666666667 53.130102354156
736817 412.567333333333 58.2116693829484
736817 412.714333333333 64.1580672368329
736817 412.82 71.8051276612332
736817 409.163666666667 8.62692655867864
736817 412.902333333333 90
736848 403.82675 -11.5369590328155
736848 403.44275 -14.4775121859299
736848 403.15525 -17.4576031237221
736848 405.573 -2.86598398259886
736848 402.944 -20.4873151147227
736848 402.782 -23.5781784782018
736848 402.647 -26.743683950403
736848 402.5315 -30
736848 402.4375 -33.3670129692318
736848 402.37125 -36.869897645844
736848 402.33425 -40.5416018735045
736848 402.322 -44.4270040008057
736848 402.32525 -48.5903778907291
736848 404.90225 -5.73917047726679
736848 402.33375 -53.130102354156
736848 402.34025 -58.2116693829484
736848 402.343 -64.1580672368329
736848 402.34275 -71.8051276612332
736848 404.3145 -8.62692655867864
736848 402.3435 -90
736848 406.30175 0
736848 408.93 11.5369590328155
736848 409.249 14.4775121859299
736848 409.367 17.4576031237221
736848 407.054 2.86598398259886
736848 409.3005 20.4873151147227
736848 409.10275 23.5781784782018
736848 408.86 26.743683950403
736848 408.66975 30
736848 408.6085 33.3670129692318
736848 408.708 36.869897645844
736848 408.936 40.5416018735045
736848 409.213 44.4270040008057
736848 409.4615 48.5903778907291
736848 407.7825 5.73917047726679
736848 409.6515 53.130102354156
736848 409.7935 58.2116693829484
736848 409.91125 64.1580672368329
736848 410.01725 71.8051276612332
736848 408.42725 8.62692655867864
736848 410.1115 90
736878 404.545 -11.5369590328155
736878 404.2992 -14.4775121859299
736878 404.0524 -17.4576031237221
736878 405.066 -2.86598398259886
736878 403.8208 -20.4873151147227
736878 403.6148 -23.5781784782018
736878 403.438 -26.743683950403
736878 403.2918 -30
736878 403.1778 -33.3670129692318
736878 403.0952 -36.869897645844
736878 403.0398 -40.5416018735045
736878 403.0042 -44.4270040008057
736878 402.9786 -48.5903778907291
736878 404.9442 -5.73917047726679
736878 402.9564 -53.130102354156
736878 402.9348 -58.2116693829484
736878 402.9148 -64.1580672368329
736878 402.8988 -71.8051276612332
736878 404.767 -8.62692655867864
736878 402.888 -90
736878 405.1414 0
736878 405.5682 11.5369590328155
736878 405.8014 14.4775121859299
736878 406.041 17.4576031237221
736878 405.1954 2.86598398259886
736878 406.225 20.4873151147227
736878 406.2894 23.5781784782018
736878 406.1858 26.743683950403
736878 405.8922 30
736878 405.4158 33.3670129692318
736878 404.7988 36.869897645844
736878 404.111 40.5416018735045
736878 403.4406 44.4270040008057
736878 402.8718 48.5903778907291
736878 405.2656 5.73917047726679
736878 402.4624 53.130102354156
736878 402.2318 58.2116693829484
736878 402.154 64.1580672368329
736878 402.1704 71.8051276612332
736878 405.3852 8.62692655867864
736878 402.2126 90
736909 404.637 -11.5369590328155
736909 404.347666666667 -14.4775121859299
736909 404.078666666667 -17.4576031237221
736909 405.026666666667 -2.86598398259886
736909 403.866666666667 -20.4873151147227
736909 403.722333333333 -23.5781784782018
736909 403.639333333333 -26.743683950403
736909 403.601666666667 -30
736909 403.593 -33.3670129692318
736909 403.6 -36.869897645844
736909 403.612 -40.5416018735045
736909 403.62 -44.4270040008057
736909 403.616 -48.5903778907291
