"WMIOD" "tracer" "cycle" "longitude_E" "longitude_median_PS_E" "latitude_N" "latitude_median_PS_E" "season_label" "date" "time" "mean_tracer_concentration_mmol_m3" "mean_tracer_concentration_error_mmol_m3" "tracer_dt_mmol_m2_d1" "tracer_dt_error_mmol_m2_d1" "gas_mmol_m2_d1" "gas_error_mmol_m2_d1" "EP_mmol_m2_d1" "EP_error_mmol_m2_d1" "entrainment_mmol_m2_d1" "entrainment_error_mmol_m2_d1" "vertical_diffusion_mmol_m2_d1" "vertical_diffusion_error_mmol_m2_d1" "vertical_advection_mmol_m2_d1" "vertical_advection_error_mmol_m2_d1" "tracer_background_dt_mmol_m2_d1" "Bio_mmol_m2_d1" "Bio_error_mmol_m2_d1" "latitude_median_PS_N" "integration_depth_m" "MLD_m"
5904395 "DIC" 40 -147.852 -149.8 -39.387 -38.95 "Not applicable" 735917.977164381 2014-11-14 2112.39473029649 12.227408539977 -8.54871441650732 0.0741846714355854 0.422220172302252 0.169623663822492 0 0 0 0 2.31951332939835 0.468418337170407 1.36983276985891 0.618244973186438 0 -12.6602806880668 0.360103343399207 "Not applicable" 93 33
5904395 "DIC" 41 -147.999 -149.8 -39.147 -38.95 "Not applicable" 735923.337719917 2014-11-20 2115.19030498135 12.2249661218209 -15.7019912768096 0.0686188414686184 0.193928627656852 0.0779093148578295 0 0 0 0 1.9516578149784 0.379899844398495 1.55156473484955 0.684771746424122 0 -19.3991424542944 0.557382929761302 "Not applicable" 94 12
5904395 "DIC" 42 -148.229 -149.8 -38.911 -38.95 "Not applicable" 735928.583125017 2014-11-25 2113.81563402768 12.2217024644111 -25.2801627493717 0.193580280027339 0.0569681240049934 0.0228864998612703 0 0 0 0 2.18222419547674 0.422782667218905 1.39563510209131 0.615805112066787 0 -28.9149901709447 0.710902915305615 "Not applicable" 95 12
5904395 "DIC" 43 -148.546 -149.8 -38.757 -38.95 "Not applicable" 735933.895358823 2014-11-30 2109.16784109881 12.2218202959479 -21.5357737084539 0.104116866530056 -0.412868331217396 0.165866634546393 0 0 0 0 2.23055294958804 0.43267093776678 1.06014972918746 0.462821637985537 0 -24.413608056012 0.635157495696115 "Not applicable" 95 12
5904395 "DIC" 44 -148.877 -149.8 -38.689 -38.95 "Not applicable" 735939.159814819 2014-12-06 2105.71976335465 12.2222816103503 -18.2503277512802 0.0723815833605201 -0.423563062419011 0.170163159461636 0 0 0 0 2.16980183431251 0.434114334073226 0.75984500239479 0.326010115517045 0 -20.7564115255685 0.609622603742735 "Not applicable" 96 29
5904395 "DIC" 45 -149.186 -149.8 -38.691 -38.95 "Not applicable" 735944.430439827 2014-12-11 2102.95055246606 12.2221011000042 -15.0917217904545 0.0347384626126344 -0.264578398116995 0.10629230956015 0 0 0 0 2.81504209480671 0.553614946912702 0.406478425589119 0.175695941845949 0 -18.0486639127333 0.500066884322327 "Not applicable" 96 44
5904395 "DIC" 46 -149.389 -149.8 -38.699 -38.95 "Not applicable" 735949.836412062 2014-12-16 2100.56730284359 12.2217041091315 -9.55285725996326 0.113484664164069 -0.510727887749615 0.20518094875485 0 0 0 0 3.18510465576584 0.627966277852536 0.0851502151930864 0.0374725591540564 0 -12.3123842431726 0.523312569824855 "Not applicable" 97 45
5904395 "DIC" 47 -149.547 -149.8 -38.697 -38.95 "Not applicable" 735955.11797454 2014-12-22 2099.02846778366 12.2217447276091 -3.20630260440503 0.16602137753981 -0.517639945845857 0.207957814228722 0 0 0 0 3.38578505973832 0.672026198976365 -0.0962177549170231 0.0419102355584301 0 -5.97822996338046 0.619958174850061 "Not applicable" 98 55
5904395 "DIC" 48 -149.666 -149.8 -38.704 -38.95 "Not applicable" 735960.361481492 2014-12-27 2104.29654594802 12.2212541169112 -10.7663394976209 0.0115883819974105 -0.320465367682371 0.128744464050838 0 0 0 0 3.08421087571392 0.594150322968355 -0.278853420506834 0.120890695126226 0 -13.2512315851456 0.603823009057955 "Not applicable" 99 31
5904395 "DIC" 49 -149.8 -149.8 -38.753 -38.95 "Not applicable" 735965.636354186 2015-01-01 2102.95732108891 12.2214563331571 -16.7922524956557 0.10713635472778 -0.465966502756368 0.187198411163329 0 0 0 0 3.01052941423865 0.589556010753678 -0.0380713926656768 0.0163141771691776 0 -19.2987440144723 0.530858119018049 "Not applicable" 100 34
